Alex 	Epistemology 	B- 
Chris 	Theology 	A- 
Chris 	Eulogy 	A+ 
Chris 	Ontology 	A- 
Chris 	Seismology 	A- 
Dale 	Statistics 	A- 
Dale 	Scientology 	A+ 
Dale 	Philology 	A- 
Dale 	Ecology 	A- 
Dale 	Immunology 	A+ 
Dale 	Morphology 	A+ 
Dale 	Pathology 	A+ 
Dara 	Etymology 	B 
Dara 	Sociology 	A- 
Dara 	Psychology 	A- 
Dara 	Cosmology 	A+ 
Dara 	Ecology 	B- 
Dara 	Nephrology 	B 
Dara 	Urology 	A- 
Darcy 	Statistics 	B 
Darcy 	Astrology 	A 
Darcy 	Phrenology 	A+ 
Darcy 	Sociology 	A+ 
Darcy 	Philology 	B+ 
Darcy 	Pathology 	A+ 
Darcy 	Seismology 	A- 
Daryl 	Astrology 	A+ 
Daryl 	Apology 	A+ 
Daryl 	Geology 	A 
Daryl 	Gynecology 	A- 
Daryl 	Ecology 	A 
Daryl 	Morphology 	A+ 
Daryl 	Ontology 	A 
Devyn 	Phrenology 	B 
Devyn 	Apology 	B 
Devyn 	Geology 	C+ 
Devyn 	Genealogy 	A- 
Devyn 	Gynecology 	B- 
Devyn 	Methodology 	A 
Devyn 	Tautology 	A- 
Dominique 	Scientology 	A+ 
Dominique 	Sociology 	A+ 
Dominique 	Cosmology 	A+ 
Dominique 	Theology 	B 
Dominique 	Immunology 	A 
Dominique 	Morphology 	A+ 
Drew 	Topology 	A+ 
Drew 	Chronology 	A+ 
Drew 	Demonology 	A+ 
Drew 	Geology 	A 
Drew 	Gynecology 	A 
Drew 	Ideology 	A+ 
Drew 	Urology 	A+ 
Emerson 	Statistics 	B- 
Emerson 	Demonology 	A+ 
Emerson 	Ideology 	A+ 
Emerson 	Methodology 	A+ 
Emerson 	Pathology 	A+ 
Emerson 	Terminology 	A+ 
Emerson 	Seismology 	B+ 
Esme 	Statistics 	C+ 
Esme 	Scientology 	A- 
Esme 	Theology 	B- 
Esme 	Immunology 	B+ 
Esme 	Morphology 	A 
Esme 	Technology 	A 
Harley 	Statistics 	B- 
Harley 	Etymology 	A- 
Harley 	Psychology 	A+ 
Harley 	Cosmology 	A+ 
Harley 	Geology 	C+ 
Harley 	Ecology 	A- 
Harley 	Methodology 	A+ 
Jade 	Epistemology 	B- 
Jade 	Astrology 	A- 
Jade 	Phrenology 	B+ 
Jade 	Psychology 	A 
Jade 	Apology 	B 
Jade 	Demonology 	A- 
Jade 	Geology 	B- 
Jade 	Nephrology 	B+ 
Jordan 	Statistics 	C+ 
Jordan 	Topology 	B+ 
Jordan 	Apology 	B- 
Jordan 	Eulogy 	A- 
Jordan 	Gynecology 	B- 
Jordan 	Pathology 	A 
Jordan 	Seismology 	B 
Kelly 	Topology 	A 
Kelly 	Pharmacology 	B 
Kelly 	Geology 	B- 
Kelly 	Ecology 	A 
Kelly 	Morphology 	A+ 
Kelly 	Pathology 	A+ 
Kelly 	Urology 	A+ 
Kim 	Pharmacology 	A- 
Kim 	Sociology 	A+ 
Kim 	Theology 	A- 
Kim 	Genealogy 	A 
Kim 	Ideology 	A+ 
Kim 	Nephrology 	A+ 
Kim 	Technology 	A+ 
Lindsey 	Scientology 	A+ 
Lindsey 	Phrenology 	A+ 
Lindsey 	Sociology 	A+ 
Lindsey 	Theology 	A- 
Lindsey 	Immunology 	A+ 
Lindsey 	Nephrology 	A+ 
Lindsey 	Pathology 	A+ 
Lindsey 	Seismology 	A 
Lou 	Epistemology 	C 
Lou 	Etymology 	A- 
Lou 	Cosmology 	A- 
Lou 	Ideology 	A- 
Lou 	Immunology 	A- 
Lou 	Morphology 	A 
Lou 	Nephrology 	B+ 
Max 	Statistics 	A 
Max 	Epistemology 	A 
Max 	Phrenology 	A- 
Max 	Ecology 	A+ 
Max 	Ideology 	A+ 
Max 	Methodology 	A+ 
Max 	Urology 	A+ 
Meryl 	Scientology 	A+ 
Meryl 	Phrenology 	B+ 
Meryl 	Sociology 	A 
Meryl 	Apology 	A- 
Meryl 	Geology 	B+ 
Meryl 	Morphology 	A+ 
Meryl 	Urology 	A+ 
Meryl 	Seismology 	A- 
Morgan 	Astrology 	A+ 
Morgan 	Topology 	A 
Morgan 	Phrenology 	B+ 
Morgan 	Apology 	A 
Morgan 	Cosmology 	A+ 
Morgan 	Gynecology 	A- 
Morgan 	Methodology 	A+ 
Morgan 	Nephrology 	A+ 
Peyton 	Etymology 	A+ 
Peyton 	Psychology 	A 
Peyton 	Chronology 	A- 
Peyton 	Philology 	B- 
Peyton 	Demonology 	A- 
Peyton 	Geology 	B- 
Peyton 	Terminology 	A+ 
Porntip 	Statistics 	A- 
Porntip 	Pharmacology 	A+ 
Porntip 	Cosmology 	A+ 
Porntip 	Demonology 	A+ 
Porntip 	Ideology 	A+ 
Porntip 	Methodology 	A+ 
Porntip 	Ontology 	A 
Porntip 	Tautology 	A+ 
Reese 	Topology 	A+ 
Reese 	Apology 	A 
Reese 	Chronology 	A- 
Reese 	Eulogy 	A+ 
Reese 	Gynecology 	B- 
Reese 	Ecology 	B+ 
Reese 	Pathology 	A+ 
Reese 	Urology 	A+ 
Robin 	Epistemology 	C+ 
Robin 	Scientology 	A+ 
Robin 	Etymology 	A- 
Robin 	Sociology 	A 
Robin 	Cosmology 	A 
Robin 	Geology 	B 
Robin 	Methodology 	A+ 
Robin 	Nephrology 	B 
Sam 	Epistemology 	B- 
Sam 	Etymology 	B+ 
Sam 	Apology 	B- 
Sam 	Demonology 	A- 
Sam 	Geology 	C 
Sam 	Gynecology 	B- 
Sam 	Seismology 	B- 
Skye 	Topology 	A+ 
Skye 	Philology 	A+ 
Skye 	Genealogy 	A+ 
Skye 	Ideology 	A+ 
Skye 	Ontology 	A 
Skye 	Tautology 	A+ 
Skye 	Terminology 	A+ 
Skye 	Urology 	A+ 
Sunny 	Statistics 	C+ 
Sunny 	Astrology 	B 
Sunny 	Phrenology 	C 
Sunny 	Chronology 	B- 
Sunny 	Immunology 	A- 
Sunny 	Methodology 	A- 
Sunny 	Tautology 	B 
Sunny 	Urology 	A 
Sydney 	Statistics 	B+ 
Sydney 	Scientology 	A+ 
Sydney 	Topology 	A+ 
Sydney 	Pharmacology 	B+ 
Sydney 	Etymology 	A+ 
Sydney 	Chronology 	A- 
Sydney 	Gynecology 	B- 
Sydney 	Nephrology 	A+ 
Tanner 	Phrenology 	A- 
Tanner 	Theology 	B 
Tanner 	Geology 	B 
Tanner 	Genealogy 	B+ 
Tanner 	Gynecology 	B 
Tanner 	Pathology 	A+ 
Tanner 	Terminology 	A+ 
Tracy 	Epistemology 	C+ 
Tracy 	Theology 	C+ 
Tracy 	Eulogy 	A 
Tracy 	Geology 	C+ 
Tracy 	Genealogy 	B+ 
Tracy 	Immunology 	A- 
